station_id,station_name,total_departures,member_dep,casual_dep,electric_dep,lat,lng,avg_duration,total_arrivals,net_flow,pct_member
5712.12,E 5 St & Cooper Sq,54360,46319,8041,35895,40.72769,-73.990993,9.8,55038,678,85.21
5411.08,Driggs Ave & N 9 St,54317,45790,8527,38829,40.71816969454208,-73.95520135760307,10.93,56399,2082,84.3
5584.05,E 7 St & Ave B,54300,46970,7330,31734,40.7251285241158,-73.98131668567657,9.7,53381,-919,86.5
5195.06,S 4 St & Roebling St,54170,42386,11784,40997,40.710709,-73.959724,12.97,54738,568,78.25
5216.07,Vesey St & Greenwich St,53789,42272,11517,34060,40.71254669463547,-74.01113051087516,14.76,54198,409,78.59
7154.10,3 Ave & E 82 St,53697,45798,7899,40791,40.775744,-73.9563752,13.05,26054,-27643,85.29
4637.06,Fulton St & Adams St,53650,44176,9474,38691,40.692418292578466,-73.98949474096298,12.19,53708,58,82.34
5659.11,E 11 St & Ave B,53624,47522,6102,29853,40.72746420692392,-73.97950418293476,9.14,52960,-664,88.62
5636.13,E 1 St & Bowery,53380,44067,9313,37309,40.72486122254819,-73.99213135242462,11.14,53950,570,82.55
5922.04,Greenwich St & Perry St,53130,45480,7650,36607,40.73498,-74.00697,10.77,53214,84,85.6
6206.08,E 30 St & Park Ave S,52401,44405,7996,36827,40.74444921,-73.98303529,10.89,51131,-1270,84.74
6809.07,W 56 St & 6 Ave,52386,42062,10324,39270,40.76340613,-73.97722479,14.45,52239,-147,80.29
6617.02,E 53 St & 3 Ave,52297,44698,7599,37731,40.75763227739443,-73.96930575370789,12.1,51670,-627,85.47
5216.06,Vesey St & Church St,52031,42619,9412,35058,40.71221958009051,-74.01047229766846,12.78,51651,-380,81.91
5772.05,Morton St & Greenwich St,52023,43496,8527,35410,40.73115,-74.00887,11.22,52593,570,83.61
7354.01,Central Park W & W 85 St,51962,38886,13076,38746,40.78476,-73.969862,15.62,51816,-146,74.84
5267.09,Roebling St & N 4 St,51848,42179,9669,39075,40.71469,-73.95739,11.73,52117,269,81.35
6854.05,W 50 St & 9 Ave,51700,44369,7331,36864,40.763604677958625,-73.98917958140373,11.17,50564,-1136,85.82
5105.01,Liberty St & Broadway,51652,43239,8413,36531,40.70905623,-74.01043382,14.4,52116,464,83.71
